date,usd_uah
2024-10-15,41.1963
2024-10-16,41.2139
2024-10-17,41.2256
2024-10-18,41.2351
2024-10-19,41.2351
2024-10-20,41.2351
2024-10-21,41.2308
2024-10-22,41.2833
2024-10-23,41.3313
2024-10-24,41.2739
2024-10-25,41.263
2024-10-26,41.263
2024-10-27,41.263
2024-10-28,41.3135
2024-10-29,41.3292
2024-10-30,41.3798
2024-10-31,41.279
2024-11-01,41.2194
2024-11-02,41.2194
2024-11-03,41.2194
2024-11-04,41.2891
2024-11-05,41.3954
2024-11-06,41.4375
2024-11-07,41.4562
2024-11-08,41.3589
2024-11-09,41.3589
2024-11-10,41.3589
2024-11-11,41.2982
2024-11-12,41.2981
2024-11-13,41.3763
2024-11-14,41.3413
2024-11-15,41.2446
2024-11-16,41.2446
2024-11-17,41.2446
2024-11-18,41.2796
2024-11-19,41.3715
2024-11-20,41.331
2024-11-21,41.2533
2024-11-22,41.286
2024-11-23,41.286
2024-11-24,41.286
2024-11-25,41.3193
2024-11-26,41.4387
2024-11-27,41.5035
2024-11-28,41.601
2024-11-29,41.5956
2024-11-30,41.5956
2024-12-01,41.5956
2024-12-02,41.5847
2024-12-03,41.6461
2024-12-04,41.6972
2024-12-05,41.6628
2024-12-06,41.5975
2024-12-07,41.5975
2024-12-08,41.5975
2024-12-09,41.4446
2024-12-10,41.5093
2024-12-11,41.6119
2024-12-12,41.6941
2024-12-13,41.6588
2024-12-14,41.6588
2024-12-15,41.6588
2024-12-16,41.607
2024-12-17,41.7403
2024-12-18,41.8271
2024-12-19,41.9048
2024-12-20,41.9292
2024-12-21,41.9292
2024-12-22,41.9292
2024-12-23,41.8761
2024-12-24,41.991
2024-12-25,41.9875
2024-12-26,41.8623
2024-12-27,41.8447
2024-12-28,41.8447
2024-12-29,41.8447
2024-12-30,41.9403
2024-12-31,42.039
2025-01-01,42.0295
2025-01-02,41.9725
2025-01-03,42.0385
2025-01-04,42.0385
2025-01-05,42.0385
2025-01-06,42.0889
2025-01-07,42.1959
2025-01-08,42.2297
2025-01-09,42.2361
2025-01-10,42.2825
2025-01-11,42.2825
2025-01-12,42.2825
2025-01-13,42.2841
2025-01-14,42.2692
2025-01-15,42.2734
2025-01-16,42.2659
2025-01-17,42.1729
2025-01-18,42.1729
2025-01-19,42.1729
2025-01-20,42.1257
2025-01-21,42.1551
2025-01-22,42.1661
2025-01-23,42.0325
2025-01-24,41.9751
2025-01-25,41.9751
2025-01-26,41.9751
2025-01-27,41.9253
2025-01-28,41.9479
2025-01-29,42.0195
2025-01-30,41.9294
2025-01-31,41.8242
2025-02-01,41.8242
2025-02-02,41.8242
2025-02-03,41.7263
2025-02-04,41.7908
2025-02-05,41.7558
2025-02-06,41.6584
2025-02-07,41.4897
2025-02-08,41.4897
2025-02-09,41.4897
2025-02-10,41.4733
2025-02-11,41.5936
2025-02-12,41.6696
2025-02-13,41.7927
2025-02-14,41.7996
2025-02-15,41.7996
2025-02-16,41.7996
2025-02-17,41.6299
2025-02-18,41.5554
2025-02-19,41.5705
2025-02-20,41.6814
2025-02-21,41.7316
2025-02-22,41.7316
2025-02-23,41.7316
2025-02-24,41.5919
2025-02-25,41.7015
2025-02-26,41.7358
2025-02-27,41.639
2025-02-28,41.514
2025-03-01,41.514
2025-03-02,41.514
2025-03-03,41.4313
2025-03-04,41.5911
2025-03-05,41.5782
2025-03-06,41.368
2025-03-07,41.2742
2025-03-08,41.2742
2025-03-09,41.2742
2025-03-10,41.2127
2025-03-11,41.287
2025-03-12,41.4124
2025-03-13,41.5076
2025-03-14,41.527
2025-03-15,41.527
2025-03-16,41.527
2025-03-17,41.5098
2025-03-18,41.4395
2025-03-19,41.5658
2025-03-20,41.573
2025-03-21,41.541
2025-03-22,41.541
2025-03-23,41.541
2025-03-24,41.5277
2025-03-25,41.6446
2025-03-26,41.6949
2025-03-27,41.5644
2025-03-28,41.4863
2025-03-29,41.4863
2025-03-30,41.4863
2025-03-31,41.4787
2025-04-01,41.4228
2025-04-02,41.373
2025-04-03,41.3162
2025-04-04,41.3426
2025-04-05,41.3426
2025-04-06,41.3426
2025-04-07,41.1941
2025-04-08,41.0807
2025-04-09,41.174
2025-04-10,41.2751
2025-04-11,41.4031
2025-04-12,41.4031
2025-04-13,41.4031
2025-04-14,41.3879
2025-04-15,41.3153
2025-04-16,41.1753
2025-04-17,41.2152
2025-04-18,41.3825
2025-04-19,41.3825
2025-04-20,41.3825
2025-04-21,41.3955
2025-04-22,41.3785
2025-04-23,41.5185
2025-04-24,41.6707
2025-04-25,41.689
2025-04-26,41.689
2025-04-27,41.689
2025-04-28,41.7513
2025-04-29,41.7441
2025-04-30,41.5647
2025-05-01,41.4706
2025-05-02,41.5945
2025-05-03,41.5945
2025-05-04,41.5945
2025-05-05,41.7091
2025-05-06,41.6036
2025-05-07,41.4544
2025-05-08,41.4388
2025-05-09,41.5113
2025-05-10,41.5113
2025-05-11,41.5113
2025-05-12,41.547
2025-05-13,41.5387
2025-05-14,41.5004
2025-05-15,41.5376
2025-05-16,41.4709
2025-05-17,41.4709
2025-05-18,41.4709
2025-05-19,41.4983
2025-05-20,41.576
2025-05-21,41.4851
2025-05-22,41.436
2025-05-23,41.4999
2025-05-24,41.4999
2025-05-25,41.4999
2025-05-26,41.5094
2025-05-27,41.5707
2025-05-28,41.6758
2025-05-29,41.5903
2025-05-30,41.5285
2025-05-31,41.5285
2025-06-01,41.5285
2025-06-02,41.5261
2025-06-03,41.6184
2025-06-04,41.6385
2025-06-05,41.4829
2025-06-06,41.4717
2025-06-07,41.4717
2025-06-08,41.4717
2025-06-09,41.4018
2025-06-10,41.4919
2025-06-11,41.5566
2025-06-12,41.5117
2025-06-13,41.488
2025-06-14,41.488
2025-06-15,41.488
2025-06-16,41.4466
2025-06-17,41.5306
2025-06-18,41.5255
2025-06-19,41.6293
2025-06-20,41.6854
2025-06-21,41.6854
2025-06-22,41.6854
2025-06-23,41.8335
2025-06-24,41.8702
2025-06-25,41.7924
2025-06-26,41.662
2025-06-27,41.5852
2025-06-28,41.5852
2025-06-29,41.5852
2025-06-30,41.6409
2025-07-01,41.7788
2025-07-02,41.8191
2025-07-03,41.8116
2025-07-04,41.7239
2025-07-05,41.7239
2025-07-06,41.7239
2025-07-07,41.7341
2025-07-08,41.7975
2025-07-09,41.8462
2025-07-10,41.7745
2025-07-11,41.8232
2025-07-12,41.8232
2025-07-13,41.8232
2025-07-14,41.7842
2025-07-15,41.8355
2025-07-16,41.8211
2025-07-17,41.8129
2025-07-18,41.867
2025-07-19,41.867
2025-07-20,41.867
2025-07-21,41.7514
2025-07-22,41.8194
2025-07-23,41.7653
2025-07-24,41.7651
2025-07-25,41.7738
2025-07-26,41.7738
2025-07-27,41.7738
2025-07-28,41.7824
2025-07-29,41.7997
2025-07-30,41.7886
2025-07-31,41.7662
2025-08-01,41.7132
2025-08-02,41.7132
2025-08-03,41.7132
2025-08-04,41.7644
2025-08-05,41.7901
2025-08-06,41.6845
2025-08-07,41.611
2025-08-08,41.4564
2025-08-09,41.4564
2025-08-10,41.4564
2025-08-11,41.3895
2025-08-12,41.449
2025-08-13,41.4268
2025-08-14,41.5149
2025-08-15,41.45
2025-08-16,41.45
2025-08-17,41.45
2025-08-18,41.3401
2025-08-19,41.2589
2025-08-20,41.3557
2025-08-21,41.3782
2025-08-22,41.2185
2025-08-23,41.2185
2025-08-24,41.2185
2025-08-25,41.2839
2025-08-26,41.43
2025-08-27,41.4047
2025-08-28,41.3222
2025-08-29,41.2602
2025-08-30,41.2602
2025-08-31,41.2602
2025-09-01,41.3203
2025-09-02,41.3722
2025-09-03,41.3631
2025-09-04,41.3719
2025-09-05,41.3494
2025-09-06,41.3494
2025-09-07,41.3494
2025-09-08,41.2199
2025-09-09,41.2497
2025-09-10,41.1237
2025-09-11,41.2138
2025-09-12,41.3127
2025-09-13,41.3127
2025-09-14,41.3127
2025-09-15,41.2838
2025-09-16,41.2317
2025-09-17,41.1752
2025-09-18,41.1941
2025-09-19,41.2488
2025-09-20,41.2488
2025-09-21,41.2488
2025-09-22,41.2502
2025-09-23,41.3811
2025-09-24,41.378
2025-09-25,41.4105
2025-09-26,41.4939
2025-09-27,41.4939
2025-09-28,41.4939
2025-09-29,41.4789
2025-09-30,41.3176
2025-10-01,41.142
2025-10-02,41.2215
2025-10-03,41.2764
2025-10-04,41.2764
2025-10-05,41.2764
2025-10-06,41.2286
2025-10-07,41.3409
2025-10-08,41.3158
2025-10-09,41.4024
2025-10-10,41.5062
2025-10-11,41.5062
2025-10-12,41.5062
2025-10-13,41.6027
2025-10-14,41.6102
2025-10-15,41.7514
